1970년,1971년,1972년,1973년,1974년,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
70.216319,70.216319,72.076034,73.9414,71.17364,74.77228,71.593,70.582465,77.492025,71.331649,73.319344,71.811326,73.378806,66.682832,73.7024,79.94905,71.09608,74.801555,72.57958,75.70956,74.349632,70.66575,74.671616,72.86697,75.322137,74.727,71.37154,71.575458,73.59346,73.773735,75.073576,75.800474,75.091948,75.234384,70.210976,70.31373,76.695546,76.141143,69.296015,74.367125,77.661748,71.846957,70.71501,75.908827,75.17716,75.290735,78.660296,78.952148,78.864346
69.1625,69.1625,71.529075,74.49762,67.50916,72.89705,66.90966,69.38119,78.69067,75.0145,73.154316,72.213479,73.236336,67.496922,70.794229,80.9266,73.82022,75.16384,73.30075,73.773735,75.38265,73.611904,74.399902,73.38557,75.52275,74.8216,69.291068,72.071285,71.558328,73.474934,73.127008,75.04535,74.52043,72.28789,71.958953,66.739904,76.60997,76.578084,71.48888,73.485696,73.322202,72.323908,71.3099,75.114536,75.37422,74.715622,78.445819,77.945555,74.569728
68.930496,68.930496,67.414925,76.75472,69.32712,74.14392,65.31424,71.93876,77.826205,75.91055,70.98108,69.896725,69.617325,71.599211,74.520448,78.93952,75.061959,74.437515,73.251965,71.7198,75.229395,75.912796,73.461925,75.505423,73.94615,72.53308,67.15756,66.59744,72.913708,73.662976,71.21104,73.810791,74.94485,74.6801,72.942682,63.46132,75.207337,79.030655,73.11104,72.822657,70.10076,73.501939,74.92045,74.803667,75.421838,69.364812,77.071416,73.445393,73.95264
69.278799,69.278799,71.787992,76.86612,71.63621,76.14946,69.50094,71.169408,77.969425,79.27056,68.318664,70.25693,73.802656,71.974428,75.44336,77.36548,75.46087,75.8712,73.865,73.3425,76.1473,73.412795,75.25131,72.193225,77.168655,71.226,66.025107,65.057217,73.261722,73.662945,71.47684,73.69137,76.300608,73.560794,72.864052,68.581632,75.54984,78.6424,71.0376,73.19379,74.00804,74.4897,77.919775,74.67089,74.618044,69.087604,69.7579,71.16561,71.1596
67.782356,67.782356,69.882755,76.18872,73.10951,77.95825,67.704085,71.00165,78.863108,75.61243,69.515655,71.797108,71.1283,75.319,74.87244,76.13548,71.726425,76.121396,68.1806,72.971132,76.659045,68.63986,71.69127,72.29295,77.00697,72.966312,65.9191,65.057217,69.92924,70.57796,75.9341,73.006205,74.118212,69.98753,73.273854,72.068976,74.381724,77.6334,71.44438,74.079976,76.405198,76.40528,77.720085,73.839104,72.942072,72.510483,69.092978,69.75426,72.12443
67.782356,67.782356,65.96987,76.209416,69.34561,77.088112,70.063541,72.518696,77.59354,71.291164,70.459136,71.967224,69.824524,75.424394,76.250695,76.566972,69.851336,76.71792,70.0666,73.33638,76.668256,69.191964,73.02322,70.775668,72.10125,74.307564,67.19191,66.730372,71.206387,73.129078,76.476047,72.259608,74.868235,72.92014,71.322405,71.696478,74.932578,76.371568,72.720884,72.330679,76.072185,76.914636,75.460605,74.714584,73.519497,71.107592,67.36625,68.821035,73.963612
70.098436,70.098436,65.206136,75.67676,68.909344,76.910441,66.38034,73.971996,75.92795,73.771624,68.137288,72.466425,72.603752,75.38667,77.312845,75.422841,68.309845,72.37824,68.6967,69.511986,76.02912,72.74942,77.942112,69.404936,75.17406,73.731968,70.067625,70.4903,72.2201,73.682688,79.105617,71.7608,78.335034,70.697544,73.82846,73.645852,73.221409,71.125793,73.79292,69.19592,73.908634,77.255392,74.950529,75.612495,74.367912,72.549248,68.46651,64.66757,75.86928
67.668631,67.668631,65.81665,76.47712,70.578739,76.1916,69.4871,75.179804,68.337138,73.39475,71.336525,72.71252,72.80747,77.306668,76.64128,77.209235,70.901233,69.238656,70.293874,70.590097,75.945528,73.06176,78.6298,70.3308,76.787852,72.089915,68.67435,69.09345,72.085197,73.020696,79.200287,72.499968,75.954865,67.522394,75.17352,73.162312,73.430888,70.03276,73.35708,67.515155,75.438386,77.0213,69.542188,73.973104,73.424664,73.290309,66.666776,65.296516,75.487323
66.765959,66.765959,67.090865,73.32206,71.109998,76.69749,71.277928,72.257335,70.145444,75.4034,72.052404,65.77155,72.62688,77.313,73.54371,70.299112,71.797108,68.808343,72.34996,72.91903,72.12443,73.30075,77.557875,71.377767,76.80544,74.785377,70.520867,71.849062,72.473808,72.572484,75.87618,73.58285,70.43312,68.294048,72.851586,74.722624,72.5684,70.939822,72.398032,69.377734,74.760151,77.237946,71.653872,71.96468,72.378474,74.412489,63.386219,69.073072,74.479656
70.216319,70.216319,72.12327,77.383831,75.101847,77.21904,72.974008,72.851586,76.24781,73.59346,71.021632,73.680935,75.583338,75.96288,76.910441,77.016074,73.939765,74.421888,76.182248,74.802565,76.833228,74.693115,74.220528,72.052404,78.502144,77.03824,75.73408,75.4252,74.7428,75.83704,76.71602,75.988215,73.512504,73.171871,75.564456,74.584946,76.75913,76.69238,74.251418,74.816813,77.038495,75.550806,76.77072,77.831239,74.932256,75.795426,77.55538,75.308428,78.823164
